state,university/college,campus,student_enrollment,total_law_enforcement__employees,total_officers,total_civilians
ALABAMA,Alabama State University,Alabama State University main,6075,40,28,12
ALABAMA,Bishop State Community College,Bishop State Community College main,3896,11,8,3
ALABAMA,Faulkner State Community College,Faulkner State Community College main,4362,5,5,0
ALABAMA,Jacksonville State University,Jacksonville State University main,8693,19,14,5
ALABAMA,Jefferson State Community College,Jefferson State Community College main,8542,10,8,2
ALABAMA,Troy University,Troy University main,20573,24,15,9
ALABAMA,Tuskegee University,Tuskegee University main,3118,30,13,17
ALABAMA,University of Alabama:,University of Alabama: Huntsville,7376,25,16,9
ALABAMA,University of Alabama:,University of Alabama: Tuscaloosa,34752,94,81,13
ALABAMA,University of Montevallo,University of Montevallo main,3062,20,10,10
ALABAMA,University of North Alabama,University of North Alabama main,6931,16,14,2
ALABAMA,University of South Alabama,University of South Alabama main,15065,38,31,7
ALABAMA,University of West Alabama,University of West Alabama main,4427,13,9,4
ALABAMA,Wallace Community College:,Wallace Community College: Dothan,4686,3,3,0
ALABAMA,Wallace Community College:,Wallace Community College: Selma,1745,5,3,2
ALASKA,University of Alaska:,University of Alaska: Anchorage,17363,23,16,7
ALASKA,University of Alaska:,University of Alaska: Fairbanks,9166,16,9,7
ARIZONA,Arizona State University,Arizona State University Main Campus,76728,126,71,55
ARIZONA,Arizona Western College,Arizona Western College main,8000,12,7,5
ARIZONA,Central Arizona College,Central Arizona College main,6445,9,6,3
ARIZONA,Northern Arizona University,Northern Arizona University main,26594,31,20,11
ARIZONA,Pima Community College,Pima Community College main,30082,52,30,22
ARIZONA,University of Arizona,University of Arizona main,40621,122,67,55
ARIZONA,Yavapai College,Yavapai College main,8197,8,7,1
ARKANSAS,Arkansas State University:,Arkansas State University: Beebe,4380,5,4,1
ARKANSAS,Arkansas State University:,Arkansas State University: Jonesboro,13552,24,19,5
ARKANSAS,Arkansas Tech University,Arkansas Tech University main,11369,13,11,2
ARKANSAS,Henderson State University,Henderson State University main,3583,9,8,1
ARKANSAS,Northwest Arkansas Community College,Northwest Arkansas Community College main,8020,18,14,4
ARKANSAS,Southern Arkansas University,Southern Arkansas University main,3404,5,4,1
ARKANSAS,Southern Arkansas University Tech,Southern Arkansas University Tech main,1730,4,4,0
ARKANSAS,University of Arkansas:,University of Arkansas: Fayetteville,25341,45,36,9
ARKANSAS,University of Arkansas:,University of Arkansas: Little Rock,12377,42,27,15
ARKANSAS,University of Arkansas:,University of Arkansas: Medical Sciences,2867,51,37,14
ARKANSAS,University of Arkansas:,University of Arkansas: Monticello,3893,9,8,1
ARKANSAS,University of Arkansas:,University of Arkansas: Pine Bluff,2615,16,14,2
ARKANSAS,University of Central Arkansas,University of Central Arkansas main,11534,36,27,9
CALIFORNIA,Allan Hancock College,Allan Hancock College main,10885,12,5,7
CALIFORNIA,California State Polytechnic University:,California State Polytechnic University: Pomona,22501,24,16,8
CALIFORNIA,California State Polytechnic University:,California State Polytechnic University: San Luis Obispo,19703,35,17,18
CALIFORNIA,California State University:,California State University: Bakersfield,8371,17,11,6
