state,university/college,campus,student_enrollment,total_law_enforcement__employees,total_officers,total_civilians
ALABAMA,Alabama A&M University,Alabama A&M University main,5333.0,36.0,17.0,19.0
ALABAMA,Alabama State University,Alabama State University main,5519.0,36.0,26.0,10.0
ALABAMA,Bishop State Community College,Bishop State Community College main,3320.0,9.0,6.0,3.0
ALABAMA,Faulkner State Community College,Faulkner State Community College main,4481.0,6.0,6.0,0.0
ALABAMA,Jacksonville State University,Jacksonville State University main,8659.0,19.0,14.0,5.0
ALABAMA,Jefferson State Community College,Jefferson State Community College main,8516.0,10.0,8.0,2.0
ALABAMA,Northwest-Shoals Community College,Northwest-Shoals Community College main,3891.0,6.0,5.0,1.0
ALABAMA,Samford University,Samford University main,4933.0,18.0,14.0,4.0
ALABAMA,Southern Union State Community College,Southern Union State Community College main,4727.0,3.0,3.0,0.0
ALABAMA,Troy University,Troy University main,19041.0,15.0,11.0,4.0
ALABAMA,University of Alabama:,University of Alabama: Birmingham,18698.0,173.0,107.0,66.0
ALABAMA,University of Alabama:,University of Alabama: Huntsville,7348.0,23.0,16.0,7.0
ALABAMA,University of Alabama:,University of Alabama: Tuscaloosa,36047.0,104.0,87.0,17.0
ALABAMA,University of Montevallo,University of Montevallo main,3070.0,19.0,9.0,10.0
ALABAMA,University of North Alabama,University of North Alabama main,6841.0,14.0,13.0,1.0
ALABAMA,University of South Alabama,University of South Alabama main,15805.0,41.0,34.0,7.0
ALABAMA,University of West Alabama,University of West Alabama main,3989.0,15.0,10.0,5.0
ALABAMA,Wallace Community College,Wallace Community College Dothan,4854.0,3.0,3.0,0.0
ARIZONA,Arizona State University,Arizona State University Main Campus,83260.0,152.0,87.0,65.0
ARIZONA,Arizona Western College,Arizona Western College main,7702.0,13.0,8.0,5.0
ARIZONA,Central Arizona College,Central Arizona College main,5937.0,9.0,7.0,2.0
ARIZONA,Northern Arizona University,Northern Arizona University main,27705.0,31.0,21.0,10.0
ARIZONA,Pima Community College,Pima Community College main,28070.0,62.0,31.0,31.0
ARIZONA,University of Arizona,University of Arizona main,42236.0,117.0,65.0,52.0
ARIZONA,Yavapai College,Yavapai College main,7842.0,7.0,6.0,1.0
ARKANSAS,Arkansas State University:,Arkansas State University: Beebe,4140.0,5.0,4.0,1.0
ARKANSAS,Arkansas State University:,Arkansas State University: Jonesboro,13144.0,22.0,17.0,5.0
ARKANSAS,Arkansas Tech University,Arkansas Tech University main,12002.0,17.0,15.0,2.0
ARKANSAS,Henderson State University,Henderson State University main,3627.0,9.0,9.0,0.0
ARKANSAS,Northwest Arkansas Community College,Northwest Arkansas Community College main,8098.0,16.0,12.0,4.0
ARKANSAS,Southern Arkansas University,Southern Arkansas University main,3546.0,5.0,4.0,1.0
ARKANSAS,Southern Arkansas University Tech,Southern Arkansas University Tech main,1559.0,3.0,3.0,0.0
ARKANSAS,University of Arkansas:,University of Arkansas: Fayetteville,26237.0,43.0,33.0,10.0
ARKANSAS,University of Arkansas:,University of Arkansas: Little Rock,11645.0,46.0,30.0,16.0
ARKANSAS,University of Arkansas:,University of Arkansas: Medical Sciences,2890.0,54.0,38.0,16.0
ARKANSAS,University of Arkansas:,University of Arkansas: Monticello,3854.0,9.0,8.0,1.0
ARKANSAS,University of Arkansas:,University of Arkansas: Pine Bluff,2513.0,12.0,10.0,2.0
ARKANSAS,University of Central Arkansas,University of Central Arkansas main,11698.0,34.0,25.0,9.0
CALIFORNIA,Allan Hancock College,Allan Hancock College main,11047.0,10.0,5.0,5.0
CALIFORNIA,California State Polytechnic University:,California State Polytechnic University: Pomona,23966.0,27.0,19.0,8.0
CALIFORNIA,California State Polytechnic University:,California State Polytechnic University: San Luis Obispo,20186.0,33.0,17.0,16.0
CALIFORNIA,California State University:,California State University: Bakersfield,8720.0,21.0,14.0,7.0
CALIFORNIA,California State University:,California State University: Channel Islands,5879.0,28.0,14.0,14.0
CALIFORNIA,California State University:,California State University: Chico,17287.0,25.0,14.0,11.0
CALIFORNIA,California State University:,California State University: Dominguez Hills,14687.0,26.0,20.0,6.0
CALIFORNIA,California State University:,California State University: East Bay,14823.0,26.0,15.0,11.0
CALIFORNIA,California State University:,California State University: Fresno,23179.0,31.0,20.0,11.0
CALIFORNIA,California State University:,California State University: Fullerton,38128.0,37.0,27.0,10.0
CALIFORNIA,California State University:,California State University: Long Beach,36809.0,38.0,24.0,14.0
CALIFORNIA,California State University:,California State University: Los Angeles,24488.0,28.0,17.0,11.0
CALIFORNIA,California State University:,California State University: Monterey Bay,6631.0,23.0,14.0,9.0
CALIFORNIA,California State University:,California State University: Northridge,40131.0,36.0,22.0,14.0
CALIFORNIA,California State University:,California State University: Sacramento,29349.0,38.0,22.0,16.0
