state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition,rape_legacy_definition,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
CALIFORNIA,State Center Community College District,State Center Community College District main,32533,6,0,0,0,3,3,139,18,113,8,0
CALIFORNIA,University of California: ,University of California:  Berkeley,38189,44,0,16,0,13,15,699,41,621,37,5
CALIFORNIA,University of California: ,University of California:  Davis,35186,12,0,7,0,1,4,555,29,517,9,0
CALIFORNIA,University of California: ,University of California:  Hastings College of Law,950,8,0,0,0,5,3,27,1,26,0,0
CALIFORNIA,University of California: ,University of California:  Irvine,30836,21,0,12,0,2,7,442,39,391,12,6
CALIFORNIA,University of California: ,University of California:  Los Angeles,41908,84,0,26,0,8,50,768,127,612,29,1
CALIFORNIA,University of California: ,"University of California:  Medical Center, Sacramento",0,13,0,1,0,1,11,145,3,135,7,1
CALIFORNIA,University of California: ,University of California:  Merced,6685,1,0,0,0,0,1,52,7,45,0,0
CALIFORNIA,University of California: ,University of California:  Riverside,21385,8,0,2,0,4,2,289,23,249,17,1
CALIFORNIA,University of California: ,University of California:  San Diego,32906,13,0,4,0,4,5,418,26,378,14,5
CALIFORNIA,University of California: ,University of California:  San Francisco,3107,12,1,0,0,3,8,464,72,382,10,1
CALIFORNIA,University of California: ,University of California:  Santa Barbara,23497,48,0,22,0,2,24,288,27,259,2,1
CALIFORNIA,University of California: ,University of California:  Santa Cruz,17868,12,0,5,0,1,6,344,48,282,14,0
CALIFORNIA,Ventura County Community College District,Ventura County Community College District main,34022,3,0,0,0,0,3,77,16,61,0,1
CALIFORNIA,West Valley-Mission College,West Valley-Mission College main,17375,3,0,1,0,0,2,39,9,27,3,0
COLORADO,Adams State University,Adams State University main,3404,2,0,1,0,0,1,44,10,33,1,0
COLORADO,Aims Community College,Aims Community College main,5298,0,0,0,0,0,0,2,0,1,1,1
COLORADO,Colorado School of Mines,Colorado School of Mines main,6054,2,0,2,0,0,0,50,0,48,2,1
COLORADO,Colorado State University,Colorado State University Fort Collins,30614,6,0,3,0,0,3,322,22,293,7,7
COLORADO,Fort Lewis College,Fort Lewis College main,3707,1,0,1,0,0,0,49,19,30,0,1
COLORADO,Pikes Peak Community College,Pikes Peak Community College main,13311,0,0,0,0,0,0,10,1,8,1,0
COLORADO,Red Rocks Community College,Red Rocks Community College main,7789,0,0,0,0,0,0,7,0,7,0,1
COLORADO,University of Colorado:,University of Colorado: Boulder,33056,18,0,9,0,1,8,545,33,495,17,4
COLORADO,University of Colorado:,University of Colorado: Colorado Springs,11988,11,0,6,0,1,4,46,3,42,1,0
COLORADO,University of Colorado:,University of Colorado: Denver,23671,1,0,0,0,1,0,56,0,51,5,0
COLORADO,University of Northern Colorado,University of Northern Colorado main,12216,7,0,6,0,1,0,152,2,147,3,0
CONNECTICUT,Central Connecticut State University,Central Connecticut State University main,12086,2,0,1,0,1,0,25,3,22,0,0
CONNECTICUT,Eastern Connecticut State University,Eastern Connecticut State University main,5261,0,0,0,0,0,0,18,1,16,1,0
CONNECTICUT,Southern Connecticut State University,Southern Connecticut State University main,10473,4,0,3,0,0,1,24,2,22,0,0
CONNECTICUT,University of Connecticut: ,University of Connecticut:  Health Center,0,0,0,0,0,0,0,17,2,15,0,0
CONNECTICUT,University of Connecticut: ,"University of Connecticut:  Storrs, Avery Point and Hartford",0,5,0,3,0,1,1,189,22,156,11,3
CONNECTICUT,Western Connecticut State University,Western Connecticut State University main,5826,1,0,1,0,0,0,34,9,25,0,0
CONNECTICUT,Yale University,Yale University main,12385,1,0,0,0,1,0,274,33,238,3,1
DELAWARE,Delaware State University,Delaware State University main,4288,4,0,1,0,0,3,119,7,111,1,0
DELAWARE,University of Delaware,University of Delaware main,22852,3,0,0,0,0,3,143,6,137,0,1
FLORIDA,Florida A&M University,Florida A&M University main,9928,6,0,1,0,3,2,97,4,85,8,0
FLORIDA,Florida Atlantic University,Florida Atlantic University main,30380,6,0,1,0,3,2,160,20,127,13,0
FLORIDA,Florida Gulf Coast University,Florida Gulf Coast University main,14833,3,0,2,0,1,0,53,1,52,0,0
FLORIDA,Florida International University,Florida International University main,49782,15,0,5,0,7,3,355,28,309,18,0
FLORIDA,Florida Polytechnic University5,Florida Polytechnic University main,0,1,0,0,0,1,0,6,0,6,0,0
FLORIDA,Florida SouthWestern State College,Florida SouthWestern State College main,15709,0,0,0,0,0,0,14,2,12,0,0
FLORIDA,Florida State University:,Florida State University: Panama City,0,0,0,0,0,0,0,4,0,4,0,0
FLORIDA,Florida State University:,Florida State University: Tallahassee,40830,20,0,10,0,6,4,523,38,452,33,1
FLORIDA,New College of Florida,New College of Florida main,861,1,0,0,0,0,1,28,0,27,1,1
FLORIDA,Pensacola State College,Pensacola State College main,9840,0,0,0,0,0,0,31,8,23,0,0
FLORIDA,Santa Fe College,Santa Fe College main,14767,0,0,0,0,0,0,24,0,22,2,0
FLORIDA,Tallahassee Community College,Tallahassee Community College main,12445,2,0,1,0,0,1,52,0,50,2,0
FLORIDA,University of Central Florida,University of Central Florida main,62953,14,0,5,0,4,5,297,27,260,10,0
FLORIDA,University of Florida,University of Florida main,50645,10,0,5,0,2,3,367,32,315,20,0
FLORIDA,University of North Florida,University of North Florida main,15675,3,0,0,0,1,2,89,21,63,5,0
FLORIDA,University of South Florida: ,University of South Florida:  St. Petersburg,4739,0,0,0,0,0,0,40,3,37,0,0
FLORIDA,University of South Florida: ,University of South Florida:  Tampa,42067,8,0,3,0,3,2,323,54,262,7,0
FLORIDA,University of West Florida,University of West Florida main,12763,10,0,6,0,1,3,55,11,44,0,0
GEORGIA,Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College main,3393,0,0,0,0,0,0,26,2,23,1,0
GEORGIA,Agnes Scott College,Agnes Scott College main,902,0,0,0,0,0,0,13,3,10,0,0
GEORGIA,Albany State University,Albany State University main,3492,1,0,0,1,0,0,39,0,39,0,0
GEORGIA,Andrew College,Andrew College main,311,0,0,0,0,0,0,16,5,11,0,0
GEORGIA,Armstrong State University,Armstrong State University main,7103,1,0,0,1,0,0,46,8,38,0,0
GEORGIA,Atlanta Metropolitan State College,Atlanta Metropolitan State College main,3129,0,0,0,0,0,0,24,0,24,0,0
GEORGIA,Augusta Technical College,Augusta Technical College main,4490,0,0,0,0,0,0,16,0,16,0,0
