state,university/college,campus,student_enrollment,total_law_enforcement__employees,total_officers,total_civilians
ALABAMA,Bishop State Community College,Bishop State Community College main,3111.0,9.0,7.0,2.0
ALABAMA,Jacksonville State University,Jacksonville State University main,8314.0,18.0,13.0,5.0
ALABAMA,Northwest-Shoals Community College,Northwest-Shoals Community College main,3700.0,6.0,4.0,2.0
ALABAMA,Troy University,Troy University main,17765.0,29.0,27.0,2.0
ALABAMA,Tuskegee University,Tuskegee University main,2996.0,24.0,10.0,14.0
ALABAMA,University of Alabama: ,University of Alabama:  Huntsville,7866.0,23.0,16.0,7.0
ALABAMA,University of Alabama: ,University of Alabama:  Tuscaloosa,37098.0,105.0,87.0,18.0
ALABAMA,University of Montevallo,University of Montevallo main,3031.0,21.0,10.0,11.0
ALABAMA,University of North Alabama,University of North Alabama main,7078.0,16.0,14.0,2.0
ALABAMA,University of South Alabama,University of South Alabama main,16211.0,36.0,30.0,6.0
ALABAMA,University of West Alabama,University of West Alabama main,4032.0,14.0,9.0,5.0
ALABAMA,Wallace Community College,Wallace Community College Selma,1591.0,6.0,3.0,3.0
ALASKA,University of Alaska: ,University of Alaska:  Anchorage,16762.0,17.0,11.0,6.0
ALASKA,University of Alaska: ,University of Alaska:  Fairbanks,8638.0,12.0,6.0,6.0
ARIZONA,Arizona State University,Arizona State University Main Campus,90906.0,154.0,86.0,68.0
ARIZONA,Arizona Western College,Arizona Western College main,7514.0,13.0,8.0,5.0
ARIZONA,Central Arizona College,Central Arizona College main,5849.0,9.0,8.0,1.0
ARIZONA,Northern Arizona University,Northern Arizona University main,29021.0,34.0,21.0,13.0
ARIZONA,Pima Community College,Pima Community College main,26880.0,49.0,29.0,20.0
ARIZONA,University of Arizona,University of Arizona main,42595.0,112.0,59.0,53.0
ARIZONA,Yavapai College,Yavapai College main,7385.0,10.0,7.0,3.0
ARKANSAS,Arkansas State University: ,Arkansas State University:  Beebe,3935.0,6.0,5.0,1.0
ARKANSAS,Arkansas State University: ,Arkansas State University:  Jonesboro,13410.0,23.0,19.0,4.0
ARKANSAS,Arkansas State University: ,Arkansas State University:  Newport,2651.0,1.0,1.0,0.0
ARKANSAS,Arkansas Tech University,Arkansas Tech University main,12054.0,17.0,16.0,1.0
ARKANSAS,Henderson State University,Henderson State University main,3527.0,9.0,8.0,1.0
ARKANSAS,Southern Arkansas University,Southern Arkansas University main,4095.0,10.0,8.0,2.0
