state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
CALIFORNIA,State Center Community College District,State Center Community College District main,39661,4,0,1,1,2,162,33,119,10,2
CALIFORNIA,University of California: ,University of California:  Berkeley,40154,71,0,16,29,26,780,46,704,30,17
CALIFORNIA,University of California: ,University of California:  Davis,36460,17,0,4,2,11,566,25,535,6,4
CALIFORNIA,University of California: ,University of California:  Irvine,32754,15,0,6,0,9,503,21,473,9,1
CALIFORNIA,University of California: ,University of California:  Los Angeles,43548,108,0,20,18,70,831,169,635,27,2
CALIFORNIA,University of California: ,"University of California:  Medical Center, Sacramento4",0,5,0,1,0,4,168,6,159,3,4
CALIFORNIA,University of California: ,University of California:  Merced,7336,0,0,0,0,0,51,8,42,1,2
CALIFORNIA,University of California: ,University of California:  Riverside,22715,13,0,6,6,1,296,27,262,7,0
CALIFORNIA,University of California: ,University of California:  San Diego,34979,8,0,2,2,4,608,25,566,17,9
CALIFORNIA,University of California: ,University of California:  San Francisco,3145,22,0,2,4,16,419,25,389,5,0
CALIFORNIA,University of California: ,University of California:  Santa Barbara,24346,56,0,44,0,12,300,35,263,2,1
CALIFORNIA,University of California: ,University of California:  Santa Cruz,18783,13,0,6,0,7,219,24,189,6,6
CALIFORNIA,Ventura County Community College District,Ventura County Community College District main,33976,1,0,1,0,0,64,15,46,3,0
CALIFORNIA,West Valley-Mission College,West Valley-Mission College main,16131,3,0,0,0,3,22,8,10,4,0
COLORADO,Adams State University,Adams State University main,3370,0,0,0,0,0,21,2,17,2,0
COLORADO,Aims Community College,Aims Community College main,5652,0,0,0,0,0,1,0,1,0,0
COLORADO,Arapahoe Community College,Arapahoe Community College main,10261,1,0,0,0,1,6,0,6,0,0
COLORADO,Auraria Higher Education Center4,Auraria Higher Education Center4 main,0,5,0,0,2,3,130,22,99,9,4
COLORADO,Colorado School of Mines,Colorado School of Mines main,6069,0,0,0,0,0,42,2,38,2,0
COLORADO,Colorado State University,Colorado State University Fort Collins,31856,11,0,5,0,6,395,23,365,7,6
COLORADO,Fort Lewis College,Fort Lewis College main,3600,4,0,3,1,0,35,4,31,0,0
COLORADO,Pikes Peak Community College,Pikes Peak Community College main,13154,2,0,1,0,1,26,2,24,0,0
COLORADO,Red Rocks Community College,Red Rocks Community College main,7738,0,0,0,0,0,17,1,15,1,0
COLORADO,University of Colorado:,University of Colorado: Boulder,33977,18,0,11,2,5,510,17,485,8,5
COLORADO,University of Colorado:,University of Colorado: Colorado Springs,12559,2,0,1,1,0,69,2,62,5,0
COLORADO,University of Colorado:,University of Colorado: Denver,23960,4,0,0,0,4,93,1,83,9,0
COLORADO,University of Northern Colorado,University of Northern Colorado main,13087,3,0,2,0,1,130,3,125,2,1
CONNECTICUT,Central Connecticut State University,Central Connecticut State University main,11784,0,0,0,0,0,38,4,32,2,0
CONNECTICUT,Eastern Connecticut State University,Eastern Connecticut State University main,5362,0,0,0,0,0,34,0,33,1,0
CONNECTICUT,Southern Connecticut State University,Southern Connecticut State University main,10320,1,0,1,0,0,39,3,35,1,0
CONNECTICUT,University of Connecticut: ,University of Connecticut:  Health Center4,0,0,0,0,0,0,2,0,2,0,0
CONNECTICUT,University of Connecticut: ,"University of Connecticut:  Storrs, Avery Point and Hartford4",0,15,0,11,3,1,194,11,178,5,1
CONNECTICUT,Western Connecticut State University,Western Connecticut State University main,5721,0,0,0,0,0,35,3,32,0,0
CONNECTICUT,Yale University,Yale University main,12458,3,0,0,2,1,253,33,217,3,0
DELAWARE,Delaware State University,Delaware State University main,4328,12,0,5,3,4,99,9,89,1,0
DELAWARE,University of Delaware,University of Delaware main,23009,3,0,1,0,2,163,8,154,1,4
FLORIDA,Florida A&M University,Florida A&M University main,9619,1,0,1,0,0,61,22,36,3,0
FLORIDA,Florida Atlantic University,Florida Atlantic University main,30541,13,0,7,0,6,180,19,141,20,0
FLORIDA,Florida Gulf Coast University,Florida Gulf Coast University main,14821,6,0,4,0,2,69,2,65,2,0
FLORIDA,Florida International University,Florida International University main,55003,11,0,3,3,5,303,23,265,15,0
FLORIDA,Florida Polytechnic University4,Florida Polytechnic University4 main,0,0,0,0,0,0,7,1,6,0,0
FLORIDA,Florida SouthWestern State College,Florida SouthWestern State College main,16627,0,0,0,0,0,11,0,11,0,0
FLORIDA,Florida State University:,Florida State University: Panama City4,0,0,0,0,0,0,5,0,5,0,0
