state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
MASSACHUSETTS,Massachusetts College of Liberal Arts,Massachusetts College of Liberal Arts main,1644,1,0,0,0,1,8,1,7,0,0
MASSACHUSETTS,Massachusetts Institute of Technology,Massachusetts Institute of Technology main,11376,9,0,3,1,5,252,15,236,1,0
MASSACHUSETTS,Massasoit Community College,Massasoit Community College main,7471,4,0,0,0,4,17,0,17,0,0
MASSACHUSETTS,MCPHS University,MCPHS University main,7095,0,0,0,0,0,8,1,7,0,0
MASSACHUSETTS,Merrimack College,Merrimack College main,4014,12,0,3,0,9,36,8,27,1,0
MASSACHUSETTS,Mount Holyoke College,Mount Holyoke College main,2327,1,0,1,0,0,18,0,18,0,0
MASSACHUSETTS,Mount Wachusett Community College,Mount Wachusett Community College main,3961,0,0,0,0,0,9,0,9,0,0
MASSACHUSETTS,Northeastern University,Northeastern University main,20381,15,0,9,0,6,229,10,216,3,0
MASSACHUSETTS,Salem State University,Salem State University main,9001,1,0,0,0,1,49,7,41,1,0
MASSACHUSETTS,Smith College,Smith College main,2896,1,0,1,0,0,47,8,39,0,0
MASSACHUSETTS,Springfield College,Springfield College main,3144,5,0,4,1,0,44,3,38,3,0
MASSACHUSETTS,Springfield Technical Community College,Springfield Technical Community College main,5622,0,0,0,0,0,26,1,24,1,0
MASSACHUSETTS,Stonehill College,Stonehill College main,2481,8,0,5,0,3,12,1,11,0,0
MASSACHUSETTS,Tufts University:,Tufts University: Medford,11489,5,0,1,1,3,49,4,45,0,0
MASSACHUSETTS,Tufts University:,Tufts University: Worcester4,0,0,0,0,0,0,1,0,1,0,0
MASSACHUSETTS,University of Massachusetts:,"University of Massachusetts: Harbor Campus, Boston",16847,4,0,1,0,3,27,0,27,0,0
MASSACHUSETTS,University of Massachusetts:,"University of Massachusetts: Medical Center, Worcester",1108,18,0,1,0,17,59,1,56,2,0
MASSACHUSETTS,Wellesley College,Wellesley College main,2482,2,0,2,0,0,25,2,23,0,0
MASSACHUSETTS,Wentworth Institute of Technology,Wentworth Institute of Technology main,4526,1,0,1,0,0,51,3,48,0,0
MASSACHUSETTS,Western New England University,Western New England University main,3810,1,0,1,0,0,36,3,33,0,0
MASSACHUSETTS,Westfield State University,Westfield State University main,6335,8,0,3,0,5,33,2,30,1,0
MASSACHUSETTS,Worcester Polytechnic Institute,Worcester Polytechnic Institute main,6642,4,0,1,2,1,57,1,56,0,0
MICHIGAN,Central Michigan University,Central Michigan University main,25986,4,0,1,0,3,74,5,68,1,0
MICHIGAN,Delta College,Delta College main,9132,0,0,0,0,0,13,3,10,0,0
MICHIGAN,Eastern Michigan University,Eastern Michigan University main,21246,16,0,10,0,6,170,25,140,5,2
MICHIGAN,Ferris State University,Ferris State University main,14187,4,0,2,0,2,45,3,39,3,0
MICHIGAN,Grand Rapids Community College,Grand Rapids Community College main,14464,0,0,0,0,0,69,4,63,2,0
MICHIGAN,Grand Valley State University,Grand Valley State University main,25460,2,0,2,0,0,140,10,130,0,0
MICHIGAN,Kalamazoo Valley Community College,Kalamazoo Valley Community College main,8549,0,0,0,0,0,23,1,22,0,0
MICHIGAN,Kellogg Community College,Kellogg Community College main,4815,0,0,0,0,0,4,0,4,0,0
MICHIGAN,Kirtland Community College,Kirtland Community College main,1529,0,0,0,0,0,1,0,1,0,0
MICHIGAN,Lansing Community College,Lansing Community College main,13583,3,0,1,0,2,45,0,45,0,0
MICHIGAN,Macomb Community College,Macomb Community College main,21734,2,0,0,0,2,26,3,21,2,0
MICHIGAN,Michigan State University,Michigan State University main,50340,24,0,12,1,11,603,56,519,28,1
MICHIGAN,Michigan Technological University,Michigan Technological University main,7252,0,0,0,0,0,36,0,36,0,1
MICHIGAN,Mott Community College,Mott Community College main,8013,1,0,0,0,1,27,0,27,0,0
MICHIGAN,Northern Michigan University,Northern Michigan University main,7865,13,0,13,0,0,58,1,56,1,0
MICHIGAN,Oakland Community College,Oakland Community College main,18923,1,0,0,0,1,19,0,17,2,0
MICHIGAN,Oakland University,Oakland University main,20012,1,0,0,0,1,46,3,43,0,0
MICHIGAN,Saginaw Valley State University,Saginaw Valley State University main,9105,3,0,1,0,2,52,0,52,0,0
MICHIGAN,Schoolcraft College,Schoolcraft College main,11339,2,0,1,1,0,18,1,17,0,0
MICHIGAN,University of Michigan: ,University of Michigan:  Ann Arbor,44718,18,0,4,2,12,529,28,493,8,1
MICHIGAN,University of Michigan: ,University of Michigan:  Dearborn,9131,0,0,0,0,0,29,0,25,4,0
MICHIGAN,University of Michigan: ,University of Michigan:  Flint,8044,1,0,0,0,1,49,1,48,0,1
MICHIGAN,Western Michigan University,Western Michigan University main,23227,9,0,3,0,6,168,3,162,3,2
MINNESOTA,University of Minnesota:,University of Minnesota: Duluth,11018,2,0,0,2,0,48,6,41,1,0
MINNESOTA,University of Minnesota:,University of Minnesota: Morris,1771,1,0,1,0,0,6,1,5,0,0
MINNESOTA,University of Minnesota:,University of Minnesota: Twin Cities,51579,16,0,2,9,5,546,27,494,25,0
MISSISSIPPI,Coahoma Community College,Coahoma Community College main,2064,1,0,0,1,0,17,17,0,0,0
MISSISSIPPI,Jackson State University,Jackson State University main,9811,21,0,0,2,19,164,34,129,1,0
MISSISSIPPI,Mississippi State University,Mississippi State University main,21622,4,0,3,0,1,200,14,181,5,0
MISSISSIPPI,Northeast Mississippi Community College,Northeast Mississippi Community College main,3521,0,0,0,0,0,28,3,25,0,0
MISSISSIPPI,University of Mississippi: ,"University of Mississippi:  Medical Center4, 7",0,0,0,0,0,3,106,0,104,2,0
MISSISSIPPI,University of Mississippi: ,University of Mississippi:  Oxford7,23610,0,0,0,0,6,92,6,83,3,0
MISSOURI,Jefferson College,Jefferson College main,4692,0,0,0,0,0,3,2,1,0,0
MISSOURI,Lincoln University,Lincoln University main,2738,7,0,3,0,4,62,14,47,1,0
MISSOURI,Metropolitan Community College,Metropolitan Community College main,15790,1,0,0,0,1,30,0,30,0,0
MISSOURI,Mineral Area College,Mineral Area College main,4173,0,0,0,0,0,2,2,0,0,0
MISSOURI,Missouri Southern State University,Missouri Southern State University main,6231,4,0,3,0,1,44,17,25,2,0
MISSOURI,Missouri University of Science and Technology,Missouri University of Science and Technology main,8835,1,0,1,0,0,58,0,55,3,0
MISSOURI,Missouri Western State University,Missouri Western State University main,5363,0,0,0,0,0,29,2,26,1,0
MISSOURI,Northwest Missouri State University,Northwest Missouri State University main,6530,6,0,4,0,2,39,3,36,0,0
MISSOURI,Southeast Missouri State University,Southeast Missouri State University main,11978,2,0,2,0,0,70,30,36,4,0
MISSOURI,St. Charles Community College,St. Charles Community College main,6755,0,0,0,0,0,12,0,12,0,0
MISSOURI,St. Louis Community College ,St. Louis Community College  Meramec,19052,0,0,0,0,0,58,0,58,0,0
MISSOURI,Truman State University,Truman State University main,6379,1,0,1,0,0,41,3,37,1,0
MISSOURI,University of Central Missouri,University of Central Missouri main,13988,7,0,4,1,2,86,11,73,2,0
MISSOURI,University of Missouri: ,University of Missouri:  Columbia,33239,6,0,2,2,2,252,2,239,11,5
MISSOURI,University of Missouri: ,University of Missouri:  Kansas City,16936,7,0,6,1,0,59,16,41,2,0
MISSOURI,University of Missouri: ,University of Missouri:  St. Louis,16989,0,0,0,0,0,55,8,46,1,0
MISSOURI,Washington University,Washington University main,15047,1,0,0,1,0,86,0,86,0,0
MONTANA,Montana State University,Montana State University main,16359,11,0,3,1,7,149,1,148,0,1
NEVADA,College of Southern Nevada,College of Southern Nevada main,33556,0,0,0,0,0,34,3,29,2,0
NEVADA,University of Nevada:,University of Nevada: Las Vegas,29702,16,1,2,5,8,399,59,319,21,1
NEVADA,University of Nevada:,University of Nevada: Reno,21353,9,0,4,1,4,165,26,134,5,0
NEW HAMPSHIRE,University of New Hampshire,University of New Hampshire main,15188,8,0,5,0,3,148,8,140,0,0
NEW JERSEY,Brookdale Community College,Brookdale Community College main,13165,1,0,1,0,0,12,0,12,0,0
NEW JERSEY,Essex County College,Essex County College main,9596,3,0,1,0,2,60,1,59,0,0
NEW JERSEY,Kean University,Kean University main,14070,0,0,0,0,0,83,7,68,8,0
NEW JERSEY,Middlesex County College,Middlesex County College main,11371,1,0,1,0,0,13,0,13,0,0
NEW JERSEY,Monmouth University,Monmouth University main,6371,3,0,3,0,0,27,1,25,1,0
NEW JERSEY,Montclair State University,Montclair State University main,20987,5,0,2,1,2,72,0,70,2,0
NEW JERSEY,New Jersey Institute of Technology,New Jersey Institute of Technology main,11317,5,0,2,2,1,82,4,76,2,0
NEW JERSEY,Princeton University,Princeton University main,8181,3,0,1,1,1,269,18,242,9,0
NEW JERSEY,Rowan University,Rowan University main,17372,10,0,3,4,3,151,18,131,2,1
NEW JERSEY,Rutgers University: ,Rutgers University:  Camden,6475,5,0,0,3,2,72,2,70,0,0
NEW JERSEY,Rutgers University: ,Rutgers University:  Newark,12321,20,0,2,13,5,250,14,234,2,0
NEW JERSEY,Rutgers University: ,Rutgers University:  New Brunswick,50146,28,0,14,4,10,390,42,347,1,1
NEW JERSEY,Stevens Institute of Technology,Stevens Institute of Technology main,6617,0,0,0,0,0,33,10,23,0,0
NEW JERSEY,Stockton University,Stockton University main,8728,4,0,4,0,0,23,1,22,0,0
NEW JERSEY,The College of New Jersey,The College of New Jersey main,7396,2,0,1,0,1,78,7,69,2,5
NEW JERSEY,William Paterson University,William Paterson University main,10583,1,0,0,1,0,53,0,53,0,0
NEW MEXICO,Eastern New Mexico University,Eastern New Mexico University main,6010,1,0,0,1,0,48,7,41,0,0
NEW MEXICO,New Mexico Military Institute,New Mexico Military Institute main,422,1,0,0,0,1,11,2,9,0,0
NEW MEXICO,New Mexico State University,New Mexico State University main,14852,6,0,1,0,5,186,17,161,8,0
NEW MEXICO,University of New Mexico,University of New Mexico main,26999,51,0,7,6,38,833,52,641,140,0
NEW MEXICO,Western New Mexico University,Western New Mexico University main,3427,1,0,0,0,1,31,6,25,0,0
NEW YORK,Cornell University,Cornell University main,22319,3,0,1,1,1,282,20,262,0,0
NEW YORK,Ithaca College,Ithaca College main,6678,11,0,11,0,0,75,7,68,0,0
NEW YORK,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute main,7363,0,0,0,0,0,53,1,52,0,1
NEW YORK,State University of New York Police:,State University of New York Police: Alfred,3735,3,0,0,0,3,61,6,53,2,3
NEW YORK,State University of New York Police:,State University of New York Police: Binghamton,17292,8,0,5,2,1,184,13,171,0,5
NEW YORK,State University of New York Police:,State University of New York Police: Brockport,8243,3,0,1,1,1,53,8,45,0,0
NEW YORK,State University of New York Police:,State University of New York Police: Buffalo,30184,6,0,2,0,4,238,32,203,3,0
NEW YORK,State University of New York Police:,State University of New York Police: Buffalo State College,9475,15,0,7,0,8,150,23,125,2,2
NEW YORK,State University of New York Police:,State University of New York Police: Canton,3205,5,0,2,0,3,22,0,22,0,0
NEW YORK,State University of New York Police:,State University of New York Police: Cobleskill,2287,8,0,8,0,0,19,6,13,0,1
NEW YORK,State University of New York Police:,State University of New York Police: Cortland,6900,3,0,3,0,0,47,10,37,0,0
NEW YORK,State University of New York Police:,State University of New York Police: Delhi,3511,2,0,2,0,0,27,1,26,0,0
NEW YORK,State University of New York Police:,State University of New York Police: Downstate Medical ,1839,0,0,0,0,0,45,0,45,0,0
NEW YORK,State University of New York Police:,State University of New York Police: Environmental Science ,2186,0,0,0,0,0,17,0,17,0,0
NEW YORK,State University of New York Police:,State University of New York Police: Farmingdale,9235,1,0,0,1,0,36,0,33,3,0
NEW YORK,State University of New York Police:,State University of New York Police: Fredonia,4603,3,0,3,0,0,46,6,40,0,0
NEW YORK,State University of New York Police:,State University of New York Police: Geneseo,5602,4,0,3,0,1,54,4,50,0,0
NEW YORK,State University of New York Police:,State University of New York Police: Maritime ,1832,0,0,0,0,0,22,7,15,0,0
NEW YORK,State University of New York Police:,State University of New York Police: Morrisville,3003,3,0,3,0,0,26,5,21,0,0
NEW YORK,State University of New York Police:,State University of New York Police: New Paltz,7628,2,0,1,0,1,27,4,23,0,1
NEW YORK,State University of New York Police:,State University of New York Police: Oneonta,6055,5,0,4,0,1,53,5,48,0,3
NEW YORK,State University of New York Police:,State University of New York Police: Optometry,401,0,0,0,0,0,2,0,2,0,0
NEW YORK,State University of New York Police:,State University of New York Police: Oswego,8004,1,0,0,1,0,84,16,66,2,0
NEW YORK,State University of New York Police:,State University of New York Police: Plattsburgh,5520,3,0,1,1,1,37,2,35,0,0
NEW YORK,State University of New York Police:,State University of New York Police: Polytechnic Institute,2697,0,0,0,0,0,11,1,10,0,0
NEW YORK,State University of New York Police:,State University of New York Police: Potsdam,3696,1,0,0,0,1,52,6,45,1,0
NEW YORK,State University of New York Police:,State University of New York Police: Purchase,4156,3,0,3,0,0,35,4,31,0,0
NEW YORK,State University of New York Police:,State University of New York Police: Stony Brook,25734,12,0,5,3,4,236,23,211,2,0
NEW YORK,State University of New York Police:,State University of New York Police: Upstate Medical ,1491,5,0,0,1,4,105,7,93,5,0
NORTH CAROLINA7,Appalachian State University,Appalachian State University main,18295,0,0,0,0,0,77,8,69,0,0
NORTH CAROLINA7,Duke University,Duke University main,15735,0,0,0,1,8,411,36,351,24,0
NORTH CAROLINA7,East Carolina University,East Carolina University main,28962,0,0,0,1,3,133,9,124,0,0
NORTH CAROLINA7,Elizabeth City State University,Elizabeth City State University main,1357,0,0,0,1,2,32,13,19,0,0
NORTH CAROLINA7,Elon University,Elon University main,6739,0,0,0,0,0,7,0,7,0,0
NORTH CAROLINA7,Fayetteville State University,Fayetteville State University main,6223,0,0,0,2,1,49,9,40,0,0
NORTH CAROLINA7,Meredith College,Meredith College main,1981,0,0,0,0,0,14,1,13,0,0
NORTH CAROLINA7,Methodist University,Methodist University main,2446,0,0,0,0,0,51,4,46,1,0
NORTH CAROLINA7,North Carolina Central University,North Carolina Central University main,8094,0,0,0,2,6,150,49,101,0,0
NORTH CAROLINA7,North Carolina State University,North Carolina State University Raleigh,33755,0,0,0,3,13,249,25,218,6,0
NORTH CAROLINA7,University of North Carolina:,University of North Carolina: Asheville,3821,0,0,0,0,1,24,4,20,0,1
NORTH CAROLINA7,University of North Carolina:,University of North Carolina: Chapel Hill,29468,0,1,0,3,1,234,25,204,5,1
NORTH CAROLINA7,University of North Carolina:,University of North Carolina: Charlotte,28721,0,0,0,0,3,149,17,129,3,1
NORTH CAROLINA7,University of North Carolina:,University of North Carolina: Greensboro,19647,0,0,0,0,0,142,22,119,1,1
NORTH CAROLINA7,University of North Carolina:,University of North Carolina: Wilmington,15740,0,0,0,0,1,229,3,224,2,2
NORTH CAROLINA7,Winston-Salem State University,Winston-Salem State University main,5151,0,0,0,1,0,70,17,52,1,0
NORTH DAKOTA,North Dakota State College of Science,North Dakota State College of Science main,3003,0,0,0,0,0,12,1,10,1,0
NORTH DAKOTA,North Dakota State University,North Dakota State University main,14432,2,0,2,0,0,116,7,108,1,0
NORTH DAKOTA,University of North Dakota,University of North Dakota main,14648,9,0,5,1,3,127,15,112,0,0
OHIO,Capital University,Capital University main,3367,0,0,0,0,0,53,10,41,2,0
OHIO,Cleveland State University,Cleveland State University main,16864,13,0,3,10,0,146,6,124,16,0
OHIO,Columbus State Community College,Columbus State Community College main,27109,1,0,0,1,0,43,1,41,1,0
OHIO,Cuyahoga Community College,Cuyahoga Community College main,23987,0,0,0,0,0,32,2,29,1,0
OHIO,Kent State University7,Kent State University7 main,30167,0,0,0,0,3,167,2,164,1,0
OHIO,Lakeland Community College,Lakeland Community College main,7997,0,0,0,0,0,14,0,14,0,0
OHIO,Miami University,Miami University main,19697,26,0,19,1,6,140,9,131,0,9
OHIO,Ohio State University,Ohio State University Columbus,59482,41,0,30,5,6,798,24,763,11,1
OHIO,Otterbein University,Otterbein University main,2928,0,0,0,0,0,24,1,23,0,0
OHIO,Shawnee State University,Shawnee State University main,3772,2,0,0,1,1,19,4,15,0,0
OHIO,Sinclair Community College,Sinclair Community College main,18610,1,0,0,1,0,39,11,28,0,0
OHIO,University of Akron,University of Akron main,21100,6,0,5,0,1,183,5,171,7,0
OHIO,University of Cincinnati,University of Cincinnati main,36596,39,0,31,1,7,283,15,261,7,0
OHIO,University of Toledo,University of Toledo main,20615,7,0,0,5,2,185,5,177,3,0
OHIO,Wright State University,Wright State University main,16655,7,0,4,3,0,55,2,53,0,0
OKLAHOMA,Cameron University,Cameron University main,4846,0,0,0,0,0,11,2,9,0,0
OKLAHOMA,East Central University,East Central University main,4160,0,0,0,0,0,18,2,16,0,0
OKLAHOMA,Langston University,Langston University main,2420,16,0,3,2,11,58,25,32,1,1
OKLAHOMA,Mid-America Christian University,Mid-America Christian University main,2405,0,0,0,0,0,2,1,0,1,0
OKLAHOMA,Northeastern Oklahoma A&M College,Northeastern Oklahoma A&M College main,2077,1,0,0,1,0,48,25,21,2,0
OKLAHOMA,Northeastern State University,Northeastern State University Tahlequah,8109,1,0,1,0,0,12,2,9,1,0
OKLAHOMA,Northwestern Oklahoma State University,Northwestern Oklahoma State University main,2218,0,0,0,0,0,7,1,6,0,0
OKLAHOMA,Oklahoma City Community College,Oklahoma City Community College main,12557,0,0,0,0,0,40,1,39,0,0
OKLAHOMA,Oklahoma City University,Oklahoma City University main,2968,1,0,0,0,1,34,6,28,0,0
OKLAHOMA,Oklahoma State University:,Oklahoma State University: Main Campus,25622,7,0,6,0,1,195,61,132,2,1
OKLAHOMA,Oklahoma State University:,Oklahoma State University: Okmulgee,2396,1,0,0,0,1,14,0,13,1,0
OKLAHOMA,Oklahoma State University:,Oklahoma State University: Tulsa,926,0,0,0,0,0,12,2,9,1,0
OKLAHOMA,Rogers State University,Rogers State University main,3903,0,0,0,0,0,3,1,1,1,0
OKLAHOMA,Seminole State College,Seminole State College main,1729,0,0,0,0,0,3,0,3,0,0
OKLAHOMA,Southeastern Oklahoma State University,Southeastern Oklahoma State University main,3725,1,0,1,0,0,13,1,10,2,1
OKLAHOMA,Southwestern Oklahoma State University,Southwestern Oklahoma State University main,5320,2,0,1,0,1,10,3,7,0,0
OKLAHOMA,Tulsa Community College,Tulsa Community College main,17135,5,0,0,0,5,27,3,21,3,0
OKLAHOMA,University of Central Oklahoma,University of Central Oklahoma main,16428,4,0,1,1,2,45,5,39,1,0
OKLAHOMA,University of Oklahoma: ,University of Oklahoma:  Health Sciences Center,3322,4,0,0,2,2,138,9,126,3,0
OKLAHOMA,University of Oklahoma: ,University of Oklahoma:  Norman,27918,13,0,10,2,1,280,9,260,11,0
OREGON,Portland State University,Portland State University main,26627,10,0,2,4,4,328,35,291,2,4
PENNSYLVANIA,Bloomsburg University,Bloomsburg University main,9637,1,0,1,0,0,29,2,26,1,0
PENNSYLVANIA,California University,California University main,7553,2,0,1,0,1,35,2,32,1,0
PENNSYLVANIA,Cheyney University,Cheyney University main,746,2,0,0,0,2,20,6,14,0,0
PENNSYLVANIA,Clarion University,Clarion University main,5224,7,0,4,0,3,15,1,14,0,0
PENNSYLVANIA,Dickinson College,Dickinson College main,2420,3,0,3,0,0,63,11,52,0,1
PENNSYLVANIA,East Stroudsburg University,East Stroudsburg University main,6822,7,0,2,3,2,52,2,50,0,0
PENNSYLVANIA,Edinboro University,Edinboro University main,6181,2,0,0,0,2,42,11,31,0,0
PENNSYLVANIA,Elizabethtown College,Elizabethtown College main,1784,3,0,2,0,1,15,1,14,0,0
PENNSYLVANIA,Indiana University,Indiana University main,12971,19,0,9,1,9,49,0,49,0,0
PENNSYLVANIA,Kutztown University,Kutztown University main,8513,12,0,10,2,0,45,2,43,0,0
PENNSYLVANIA,Lehigh University,Lehigh University main,7059,2,0,2,0,0,30,0,30,0,0
PENNSYLVANIA,Lock Haven University,Lock Haven University main,4220,3,0,2,0,1,23,2,21,0,0
PENNSYLVANIA,Mansfield University,Mansfield University main,2180,0,0,0,0,0,7,0,7,0,0
PENNSYLVANIA,Millersville University,Millersville University main,7914,0,0,0,0,0,22,1,21,0,0
PENNSYLVANIA,Moravian College,Moravian College main,2426,0,0,0,0,0,34,7,27,0,0
PENNSYLVANIA,Pennsylvania State University:,Pennsylvania State University: Altoona,3491,1,0,1,0,0,28,5,22,1,1
PENNSYLVANIA,Pennsylvania State University:,Pennsylvania State University: Beaver,726,2,0,1,1,0,8,0,8,0,6
PENNSYLVANIA,Pennsylvania State University:,Pennsylvania State University: Behrend,4566,1,0,1,0,0,15,2,13,0,0
PENNSYLVANIA,Pennsylvania State University:,Pennsylvania State University: Berks,2888,1,0,0,0,1,6,0,6,0,0
PENNSYLVANIA,Pennsylvania State University:,Pennsylvania State University: Brandywine,1379,1,0,1,0,0,5,0,4,1,0
PENNSYLVANIA,Pennsylvania State University:,Pennsylvania State University: Fayette,643,0,0,0,0,0,0,0,0,0,0
PENNSYLVANIA,Pennsylvania State University:,Pennsylvania State University: Greater Allegheny,550,1,0,1,0,0,1,0,1,0,0
PENNSYLVANIA,Pennsylvania State University:,Pennsylvania State University: Harrisburg,5046,2,0,2,0,0,6,0,6,0,0
PENNSYLVANIA,Pennsylvania State University:,Pennsylvania State University: Hazleton,863,1,0,1,0,0,4,0,4,0,0
PENNSYLVANIA,Pennsylvania State University:,Pennsylvania State University: Mont Alto,903,0,0,0,0,0,2,0,2,0,0
PENNSYLVANIA,Pennsylvania State University:,Pennsylvania State University: Schuylkill,759,2,0,1,1,0,4,1,3,0,0
PENNSYLVANIA,Pennsylvania State University:,Pennsylvania State University: University Park,47789,42,0,25,2,15,411,35,373,3,7
PENNSYLVANIA,Pennsylvania State University:,Pennsylvania State University: Worthington Scranton,1019,0,0,0,0,0,3,0,3,0,0
PENNSYLVANIA,Shippensburg University,Shippensburg University main,6972,0,0,0,0,0,31,9,22,0,0
PENNSYLVANIA,Slippery Rock University,Slippery Rock University main,8854,0,0,0,0,0,34,1,33,0,0
PENNSYLVANIA,University of Pittsburgh: ,University of Pittsburgh:  Bradford,1465,1,0,1,0,0,8,1,7,0,0
PENNSYLVANIA,University of Pittsburgh: ,University of Pittsburgh:  Greensburg,1520,1,0,1,0,0,7,0,7,0,0
PENNSYLVANIA,University of Pittsburgh: ,University of Pittsburgh:  Johnstown,2769,0,0,0,0,0,30,3,27,0,0
PENNSYLVANIA,University of Pittsburgh: ,University of Pittsburgh:  Pittsburgh,28664,3,0,1,0,2,170,3,165,2,1
PENNSYLVANIA,University of Pittsburgh: ,University of Pittsburgh:  Titusville,332,0,0,0,0,0,4,1,3,0,1
PENNSYLVANIA,West Chester University,West Chester University main,17005,3,0,3,0,0,64,4,59,1,0
RHODE ISLAND,Brown University,Brown University main,9781,0,0,0,0,0,118,14,104,0,0
RHODE ISLAND,University of Rhode Island,University of Rhode Island main,17822,7,0,4,0,3,75,2,72,1,0
SOUTH CAROLINA,Benedict College,Benedict College main,2281,23,0,4,4,15,98,12,83,3,0
SOUTH CAROLINA,Bob Jones University,Bob Jones University main,2901,0,0,0,0,0,16,9,7,0,0
SOUTH CAROLINA,Clemson University,Clemson University main,23406,9,0,5,0,4,216,20,163,33,1
SOUTH CAROLINA,Coastal Carolina University,Coastal Carolina University main,10479,17,0,7,2,8,172,4,168,0,0
SOUTH CAROLINA,College of Charleston,College of Charleston main,11294,1,0,0,0,1,71,1,69,1,0
SOUTH CAROLINA,Erskine College,Erskine College main,822,0,0,0,0,0,1,1,0,0,0
SOUTH CAROLINA,Francis Marion University,Francis Marion University main,3874,2,0,2,0,0,21,0,21,0,0
SOUTH CAROLINA,Greenville Technical College,Greenville Technical College main,11932,8,0,2,0,6,27,2,23,2,0
SOUTH CAROLINA,Medical University of South Carolina,Medical University of South Carolina main,2986,8,0,3,1,4,107,2,103,2,0
SOUTH CAROLINA,Midlands Technical College,Midlands Technical College main,10749,0,0,0,0,0,13,0,12,1,0
SOUTH CAROLINA,Orangeburg-Calhoun Technical College,Orangeburg-Calhoun Technical College main,2640,0,0,0,0,0,0,0,0,0,0
SOUTH CAROLINA,Presbyterian College,Presbyterian College main,1352,2,0,2,0,0,35,16,18,1,1
SOUTH CAROLINA,South Carolina State University,South Carolina State University main,2905,3,0,1,1,1,74,32,41,1,0
SOUTH CAROLINA,Spartanburg Methodist College,Spartanburg Methodist College main,737,2,0,2,0,0,4,2,2,0,0
SOUTH CAROLINA,The Citadel,The Citadel main,3602,3,0,0,0,3,24,5,18,1,0
SOUTH CAROLINA,University of South Carolina:,University of South Carolina: Aiken,3548,1,0,0,0,1,11,2,9,0,0
SOUTH CAROLINA,University of South Carolina:,University of South Carolina: Beaufort,2005,5,0,3,1,1,6,0,6,0,0
SOUTH CAROLINA,University of South Carolina:,University of South Carolina: Columbia,34099,16,0,10,2,4,329,17,251,61,0
SOUTH CAROLINA,University of South Carolina:,University of South Carolina: Upstate,5821,0,0,0,0,0,38,1,36,1,0
SOUTH CAROLINA,Winthrop University,Winthrop University main,6109,6,0,1,1,4,38,2,35,1,0
SOUTH DAKOTA,South Dakota State University,South Dakota State University main,12600,2,0,1,0,1,57,3,54,0,0
TENNESSEE,Austin Peay State University,Austin Peay State University main,10344,1,0,0,1,0,54,9,43,2,0
TENNESSEE,Chattanooga State Community College,Chattanooga State Community College main,8628,0,0,0,0,0,6,0,6,0,0
TENNESSEE,Christian Brothers University,Christian Brothers University main,2138,0,0,0,0,0,19,1,15,3,0
TENNESSEE,Cleveland State Community College,Cleveland State Community College main,3315,0,0,0,0,0,4,0,4,0,0
TENNESSEE,East Tennessee State University,East Tennessee State University main,14022,5,0,4,0,1,78,4,71,3,1
TENNESSEE,Jackson State Community College,Jackson State Community College main,4689,0,0,0,0,0,1,1,0,0,0
TENNESSEE,Lincoln Memorial University,Lincoln Memorial University main,4254,0,0,0,0,0,1,0,1,0,0
TENNESSEE,Middle Tennessee State University,Middle Tennessee State University main,22050,12,0,5,1,6,153,20,128,5,0
TENNESSEE,Motlow State Community College,Motlow State Community College main,5838,0,0,0,0,0,0,0,0,0,0
TENNESSEE,Northeast State Community College,Northeast State Community College main,6124,0,0,0,0,0,5,0,5,0,0
TENNESSEE,Pellissippi State Community College,Pellissippi State Community College main,10244,0,0,0,0,0,22,0,22,0,0
TENNESSEE,Roane State Community College,Roane State Community College main,5756,0,0,0,0,0,2,0,2,0,0
TENNESSEE,Southwest Tennessee Community College,Southwest Tennessee Community College main,8327,1,0,1,0,0,15,0,15,0,0
TENNESSEE,Tennessee State University,Tennessee State University main,8760,5,0,1,1,3,66,6,59,1,0
TENNESSEE,Tennessee Technological University,Tennessee Technological University main,10493,0,0,0,0,0,85,7,76,2,0
TENNESSEE,University of Memphis,University of Memphis main,21301,12,0,6,2,4,129,15,113,1,0
TENNESSEE,University of Tennessee: ,University of Tennessee:  Chattanooga,11533,7,0,2,1,4,102,13,84,5,0
TENNESSEE,University of Tennessee: ,University of Tennessee:  Health Science Center,3097,0,0,0,0,0,16,2,13,1,0
TENNESSEE,University of Tennessee: ,University of Tennessee:  Knoxville,28052,10,0,2,0,8,229,20,197,12,0
TENNESSEE,University of Tennessee: ,University of Tennessee:  Martin,6705,1,0,0,0,1,57,4,53,0,0
TENNESSEE,University of the South,University of the South main,1815,12,0,8,0,4,91,40,50,1,0
TENNESSEE,Vanderbilt University,Vanderbilt University main,12587,24,0,7,0,17,383,5,371,7,0
TENNESSEE,Volunteer State Community College,Volunteer State Community College main,8684,2,0,0,0,2,13,0,13,0,0
TENNESSEE,Walters State Community College,Walters State Community College main,5951,0,0,0,0,0,5,0,5,0,0
TEXAS,Abilene Christian University,Abilene Christian University main,4910,8,0,7,0,1,63,6,56,1,0
TEXAS,Alamo Colleges District,Alamo Colleges District main,56533,8,0,1,2,5,126,17,101,8,0
TEXAS,Alvin Community College,Alvin Community College main,5677,0,0,0,0,0,5,0,5,0,0
