state,university/college,campus,student_enrollment,total_law_enforcement__employees,total_officers,total_civilians
ALABAMA,Alabama A & M University,Alabama A & M University main,5859.0,42.0,18.0,24.0
ALABAMA,Alabama State University,Alabama State University main,5318.0,40.0,29.0,11.0
ALABAMA,Auburn University,Auburn University Montgomery,4878.0,21.0,13.0,8.0
ALABAMA,Jacksonville State University,Jacksonville State University main,8514.0,21.0,13.0,8.0
ALABAMA,Lawson State Community College,Lawson State Community College main,3128.0,9.0,8.0,1.0
ALABAMA,Tuskegee University,Tuskegee University main,2851.0,24.0,9.0,15.0
ALABAMA,University of Alabama: ,University of Alabama:  Birmingham,19535.0,165.0,101.0,64.0
ALABAMA,University of Alabama: ,University of Alabama:  Huntsville,8468.0,29.0,16.0,13.0
ALABAMA,University of Alabama: ,University of Alabama:  Tuscaloosa,37663.0,106.0,86.0,20.0
ALABAMA,University of South Alabama,University of South Alabama main,16443.0,38.0,33.0,5.0
ALASKA,University of Alaska: ,University of Alaska:  Anchorage,16318.0,18.0,13.0,5.0
ALASKA,University of Alaska: ,University of Alaska:  Fairbanks,8283.0,10.0,5.0,5.0
ARIZONA,Arizona State University,Arizona State University Main Campus,97849.0,148.0,84.0,64.0
ARIZONA,Arizona Western College,Arizona Western College main,7569.0,14.0,9.0,5.0
ARIZONA,Central Arizona College,Central Arizona College main,5585.0,8.0,7.0,1.0
ARIZONA,Northern Arizona University,Northern Arizona University main,30361.0,33.0,21.0,12.0
ARIZONA,Pima Community College,Pima Community College main,24956.0,51.0,29.0,22.0
ARIZONA,University of Arizona,University of Arizona main,43161.0,95.0,62.0,33.0
ARIZONA,Yavapai College,Yavapai College main,7282.0,10.0,9.0,1.0
ARKANSAS,Arkansas State University: ,Arkansas State University:  Beebe,3989.0,6.0,5.0,1.0
ARKANSAS,Arkansas State University: ,Arkansas State University:  Jonesboro,14085.0,23.0,18.0,5.0
ARKANSAS,Arkansas State University: ,Arkansas State University:  Newport,2735.0,2.0,2.0,0.0
ARKANSAS,Arkansas Tech University,Arkansas Tech University main,11894.0,20.0,17.0,3.0
ARKANSAS,Henderson State University,Henderson State University main,3551.0,9.0,8.0,1.0
ARKANSAS,Southern Arkansas University,Southern Arkansas University main,4771.0,9.0,8.0,1.0
ARKANSAS,Southern Arkansas University Tech,Southern Arkansas University Tech main,780.0,3.0,3.0,0.0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Fayetteville,27194.0,51.0,35.0,16.0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Little Rock,11746.0,39.0,26.0,13.0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Medical Sciences,2869.0,67.0,41.0,26.0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Monticello,3924.0,10.0,9.0,1.0
ARKANSAS,University of Arkansas: ,University of Arkansas:  Pine Bluff,2821.0,19.0,13.0,6.0
ARKANSAS,University of Arkansas Community College,University of Arkansas Community College Morrilton,2029.0,3.0,3.0,0.0
ARKANSAS,University of Central Arkansas,University of Central Arkansas main,11487.0,36.0,26.0,10.0
CALIFORNIA,Allan Hancock College,Allan Hancock College main,12012.0,9.0,4.0,5.0
CALIFORNIA,California State Polytechnic University: ,California State Polytechnic University:  Pomona,25326.0,51.0,19.0,32.0
CALIFORNIA,California State Polytechnic University: ,California State Polytechnic University:  San Luis Obispo,21306.0,36.0,20.0,16.0
CALIFORNIA,California State University: ,California State University:  Bakersfield,9341.0,22.0,13.0,9.0
CALIFORNIA,California State University: ,California State University:  Channel Islands,6611.0,28.0,14.0,14.0
CALIFORNIA,California State University: ,California State University:  Chico,17557.0,24.0,15.0,9.0
CALIFORNIA,California State University: ,California State University:  Dominguez Hills,14731.0,26.0,19.0,7.0
CALIFORNIA,California State University: ,California State University:  East Bay,15855.0,30.0,15.0,15.0
CALIFORNIA,California State University: ,California State University:  Fresno,24405.0,40.0,27.0,13.0
CALIFORNIA,California State University: ,California State University:  Fullerton,40235.0,44.0,30.0,14.0
CALIFORNIA,California State University: ,California State University:  Long Beach,37776.0,39.0,24.0,15.0
CALIFORNIA,California State University: ,California State University:  Los Angeles,27827.0,36.0,21.0,15.0
CALIFORNIA,California State University: ,California State University:  Monterey Bay,7274.0,26.0,14.0,12.0
CALIFORNIA,California State University: ,California State University:  Northridge,39916.0,38.0,22.0,16.0
CALIFORNIA,California State University: ,California State University:  Sacramento,30510.0,38.0,22.0,16.0
CALIFORNIA,California State University: ,California State University:  San Bernardino,20767.0,29.0,18.0,11.0
CALIFORNIA,California State University: ,California State University:  San Jose,32154.0,69.0,27.0,42.0
CALIFORNIA,California State University: ,California State University:  San Marcos,13144.0,24.0,19.0,5.0
CALIFORNIA,California State University: ,California State University:  Stanislaus,9762.0,20.0,12.0,8.0
CALIFORNIA,College of the Sequoias,College of the Sequoias main,11959.0,7.0,6.0,1.0
CALIFORNIA,Contra Costa Community College,Contra Costa Community College main,34487.0,32.0,21.0,11.0
CALIFORNIA,Cuesta College,Cuesta College main,10232.0,12.0,7.0,5.0
CALIFORNIA,El Camino College,El Camino College main,24033.0,31.0,22.0,9.0
CALIFORNIA,Foothill-De Anza College,Foothill-De Anza College main,37085.0,22.0,13.0,9.0
CALIFORNIA,Humboldt State University,Humboldt State University main,8503.0,20.0,12.0,8.0
CALIFORNIA,Irvine Valley College,Irvine Valley College main,14147.0,14.0,9.0,5.0
CALIFORNIA,Marin Community College,Marin Community College main,5621.0,8.0,6.0,2.0
CALIFORNIA,Pasadena Community College,Pasadena Community College main,27165.0,13.0,9.0,4.0
CALIFORNIA,Riverside Community College,Riverside Community College main,38677.0,27.0,20.0,7.0
CALIFORNIA,San Bernardino Community College,San Bernardino Community College main,18657.0,20.0,7.0,13.0
CALIFORNIA,San Diego State University,San Diego State University main,34688.0,49.0,26.0,23.0
CALIFORNIA,San Francisco State University,San Francisco State University main,29045.0,51.0,27.0,24.0
CALIFORNIA,San Jose/Evergreen Community College ,San Jose/Evergreen Community College  main,17213.0,17.0,7.0,10.0
CALIFORNIA,Santa Rosa Junior College,Santa Rosa Junior College main,21217.0,26.0,13.0,13.0
CALIFORNIA,Sonoma State University,Sonoma State University main,9323.0,16.0,12.0,4.0
CALIFORNIA,State Center Community College District,State Center Community College District main,39661.0,22.0,18.0,4.0
CALIFORNIA,University of California: ,University of California:  Berkeley,40154.0,123.0,57.0,66.0
CALIFORNIA,University of California: ,University of California:  Davis,36460.0,70.0,45.0,25.0
CALIFORNIA,University of California: ,University of California:  Irvine,32754.0,55.0,38.0,17.0
CALIFORNIA,University of California: ,University of California:  Los Angeles,43548.0,91.0,56.0,35.0
CALIFORNIA,University of California: ,University of California:  Merced,7336.0,25.0,14.0,11.0
CALIFORNIA,University of California: ,University of California:  Riverside,22715.0,46.0,34.0,12.0
CALIFORNIA,University of California: ,University of California:  San Diego,34979.0,73.0,38.0,35.0
CALIFORNIA,University of California: ,University of California:  San Francisco,3145.0,141.0,50.0,91.0
CALIFORNIA,University of California: ,University of California:  Santa Barbara,24346.0,58.0,39.0,19.0
CALIFORNIA,University of California: ,University of California:  Santa Cruz,18783.0,31.0,20.0,11.0
CALIFORNIA,Ventura County Community College District,Ventura County Community College District main,33976.0,15.0,14.0,1.0
CALIFORNIA,West Valley-Mission College,West Valley-Mission College main,16131.0,13.0,9.0,4.0
COLORADO,Adams State University,Adams State University main,3370.0,6.0,5.0,1.0
